document_id,variant_id,document_type,template,quality_condition,quality_group,file_format,extraction_method,success,expected_document_type,predicted_document_type,classification_correct,classification_uncertain,critical_field_accuracy,visible_field_accuracy,complete_record_correct,line_item_f1,cer,wer,structured_confidence,confidence_label,warning_count,warning_codes,processing_time_seconds,has_actual_error
INV-0002,INV-0002-image_jpg,invoice,invoice_2,mild_shadow,degraded,jpg,ocr,True,invoice,invoice,True,False,1.0,0.8181818181818182,False,1.0,1.1063829787234043,1.0,0.9389,High,1,LINE_ITEM_SUM_MISMATCH,6.8774,True
INV-0004,INV-0004-image_jpg,invoice,invoice_4,light_noise,degraded,jpg,ocr,True,invoice,invoice,True,False,1.0,0.6363636363636364,False,1.0,1.072538860103627,0.8064516129032258,0.9439,High,1,LINE_ITEM_SUM_MISMATCH,5.9409,True
INV-0008,INV-0008-image_jpg,invoice,invoice_3,mild_blur,degraded,jpg,ocr,True,invoice,invoice,True,False,1.0,0.6363636363636364,False,1.0,1.0260416666666667,0.7419354838709677,0.9302,High,1,LINE_ITEM_SUM_MISMATCH,4.3378,True
INV-0011,INV-0011-image_jpg,invoice,invoice_1,light_noise,degraded,jpg,ocr,True,invoice,invoice,True,False,1.0,0.7272727272727273,False,0.8,1.2767295597484276,1.0,0.943,High,1,LINE_ITEM_SUM_MISMATCH,6.3489,True
INV-0013,INV-0013-image_jpg,invoice,invoice_3,lower_contrast,degraded,jpg,ocr,True,invoice,invoice,True,False,1.0,0.7272727272727273,False,1.0,1.3076923076923077,0.8518518518518519,0.9288,High,1,LINE_ITEM_SUM_MISMATCH,4.8161,True
INV-0015,INV-0015-image_jpg,invoice,invoice_5,mild_blur,degraded,jpg,ocr,True,invoice,invoice,True,False,1.0,0.7272727272727273,False,0.888888888888889,0.9719626168224299,0.7222222222222222,0.9298,High,1,LINE_ITEM_SUM_MISMATCH,6.1532,True
INV-0027,INV-0027-image_jpg,invoice,invoice_2,lower_contrast,degraded,jpg,ocr,True,invoice,invoice,True,False,1.0,0.6363636363636364,False,0.5,1.1904761904761905,0.9230769230769231,0.9295,High,1,LINE_ITEM_SUM_MISMATCH,5.3027,True
INV-0031,INV-0031-image_jpg,invoice,invoice_1,slight_rotation,degraded,jpg,ocr,True,invoice,invoice,True,False,0.8,0.6363636363636364,False,0.8571428571428571,1.2245989304812834,0.9354838709677419,0.9516,High,0,,5.7979,True
INV-0037,INV-0037-image_jpg,invoice,invoice_2,mild_shadow,degraded,jpg,ocr,True,invoice,invoice,True,False,1.0,0.8181818181818182,False,0.8,1.2777777777777777,1.1481481481481481,0.9398,High,1,LINE_ITEM_SUM_MISMATCH,5.9205,True
INV-0038,INV-0038-image_jpg,invoice,invoice_3,slight_rotation,degraded,jpg,ocr,True,invoice,invoice,True,False,0.8,0.6363636363636364,False,0.5,1.5,1.0,0.9382,High,0,,6.1893,True
