document_id,variant_id,document_type,template,quality_condition,quality_group,file_format,extraction_method,expected_rows,predicted_rows,matched_rows,row_precision,row_recall,row_f1,description_accuracy,quantity_accuracy,unit_price_accuracy,line_total_accuracy,complete_line_item_accuracy,no_predicted_items,perfect_line_item_extraction
INV-0002,INV-0002-image_jpg,invoice,invoice_2,mild_shadow,degraded,jpg,ocr,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0004,INV-0004-image_jpg,invoice,invoice_4,light_noise,degraded,jpg,ocr,4,4,4,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,False,False
INV-0008,INV-0008-image_jpg,invoice,invoice_3,mild_blur,degraded,jpg,ocr,4,4,4,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,False,False
INV-0011,INV-0011-image_jpg,invoice,invoice_1,light_noise,degraded,jpg,ocr,3,2,2,1.0,0.6666666666666666,0.8,0.0,1.0,1.0,1.0,0.0,False,False
INV-0013,INV-0013-image_jpg,invoice,invoice_3,lower_contrast,degraded,jpg,ocr,3,3,3,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,False,False
INV-0015,INV-0015-image_jpg,invoice,invoice_5,mild_blur,degraded,jpg,ocr,5,4,4,1.0,0.8,0.888888888888889,0.25,1.0,1.0,1.0,0.2,False,False
INV-0027,INV-0027-image_jpg,invoice,invoice_2,lower_contrast,degraded,jpg,ocr,3,1,1,1.0,0.3333333333333333,0.5,0.0,1.0,1.0,1.0,0.0,False,False
INV-0031,INV-0031-image_jpg,invoice,invoice_1,slight_rotation,degraded,jpg,ocr,4,3,3,1.0,0.75,0.8571428571428571,0.6666666666666666,0.0,0.0,0.0,0.0,False,False
INV-0037,INV-0037-image_jpg,invoice,invoice_2,mild_shadow,degraded,jpg,ocr,3,2,2,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.6666666666666666,False,False
INV-0038,INV-0038-image_jpg,invoice,invoice_3,slight_rotation,degraded,jpg,ocr,3,1,1,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,0.0,0.0,False,False
INV-0040,INV-0040-image_jpg,invoice,invoice_5,perspective,degraded,jpg,ocr,3,3,3,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,False,False
INV-0002,INV-0002-digital_pdf,invoice,invoice_2,clean,clean,digital_pdf,embedded_text,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0004,INV-0004-digital_pdf,invoice,invoice_4,clean,clean,digital_pdf,embedded_text,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0008,INV-0008-digital_pdf,invoice,invoice_3,clean,clean,digital_pdf,embedded_text,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
INV-0011,INV-0011-digital_pdf,invoice,invoice_1,clean,clean,digital_pdf,embedded_text,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0013,INV-0013-digital_pdf,invoice,invoice_3,clean,clean,digital_pdf,embedded_text,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0015,INV-0015-digital_pdf,invoice,invoice_5,clean,clean,digital_pdf,embedded_text,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0027,INV-0027-digital_pdf,invoice,invoice_2,clean,clean,digital_pdf,embedded_text,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0031,INV-0031-digital_pdf,invoice,invoice_1,clean,clean,digital_pdf,embedded_text,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0037,INV-0037-digital_pdf,invoice,invoice_2,clean,clean,digital_pdf,embedded_text,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0038,INV-0038-digital_pdf,invoice,invoice_3,clean,clean,digital_pdf,embedded_text,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0040,INV-0040-digital_pdf,invoice,invoice_5,clean,clean,digital_pdf,embedded_text,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0002,INV-0002-image_png,invoice,invoice_2,light_noise,degraded,png,ocr,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0004,INV-0004-image_png,invoice,invoice_4,lower_contrast,degraded,png,ocr,4,4,4,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,False,False
INV-0008,INV-0008-image_png,invoice,invoice_3,slight_rotation,degraded,png,ocr,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
INV-0011,INV-0011-image_png,invoice,invoice_1,lower_contrast,degraded,png,ocr,3,2,2,1.0,0.6666666666666666,0.8,0.5,1.0,1.0,1.0,0.3333333333333333,False,False
INV-0013,INV-0013-image_png,invoice,invoice_3,mild_blur,degraded,png,ocr,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0015,INV-0015-image_png,invoice,invoice_5,slight_rotation,degraded,png,ocr,5,4,4,1.0,0.8,0.888888888888889,0.5,0.0,0.0,0.0,0.0,False,False
INV-0027,INV-0027-image_png,invoice,invoice_2,mild_blur,degraded,png,ocr,3,1,1,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,False,False
INV-0031,INV-0031-image_png,invoice,invoice_1,perspective,degraded,png,ocr,4,4,4,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,False,False
INV-0037,INV-0037-image_png,invoice,invoice_2,light_noise,degraded,png,ocr,3,2,2,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.6666666666666666,False,False
INV-0038,INV-0038-image_png,invoice,invoice_3,perspective,degraded,png,ocr,3,2,2,1.0,0.6666666666666666,0.8,0.5,1.0,1.0,1.0,0.3333333333333333,False,False
INV-0040,INV-0040-image_png,invoice,invoice_5,jpeg_compression,degraded,png,ocr,3,3,3,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,False,False
RCT-0002,RCT-0002-image_jpg,receipt,receipt_2,jpeg_compression,degraded,jpg,ocr,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0004,RCT-0004-image_jpg,receipt,receipt_4,mild_shadow,degraded,jpg,ocr,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
RCT-0006,RCT-0006-image_jpg,receipt,receipt_2,light_noise,degraded,jpg,ocr,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0010,RCT-0010-image_jpg,receipt,receipt_2,mild_blur,degraded,jpg,ocr,2,2,2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,False,False
RCT-0014,RCT-0014-image_jpg,receipt,receipt_2,perspective,degraded,jpg,ocr,5,1,1,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,0.2,False,False
RCT-0021,RCT-0021-image_jpg,receipt,receipt_1,perspective,degraded,jpg,ocr,2,1,1,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,0.5,False,False
RCT-0022,RCT-0022-image_jpg,receipt,receipt_2,lower_contrast,degraded,jpg,ocr,4,4,4,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,False,False
RCT-0025,RCT-0025-image_jpg,receipt,receipt_1,mild_shadow,degraded,jpg,ocr,5,4,4,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,0.8,False,False
RCT-0028,RCT-0028-image_jpg,receipt,receipt_4,perspective,degraded,jpg,ocr,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0030,RCT-0030-image_jpg,receipt,receipt_2,jpeg_compression,degraded,jpg,ocr,4,4,4,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,False,False
RCT-0002,RCT-0002-digital_pdf,receipt,receipt_2,clean,clean,digital_pdf,embedded_text,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0004,RCT-0004-digital_pdf,receipt,receipt_4,clean,clean,digital_pdf,embedded_text,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0006,RCT-0006-digital_pdf,receipt,receipt_2,clean,clean,digital_pdf,embedded_text,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0010,RCT-0010-digital_pdf,receipt,receipt_2,clean,clean,digital_pdf,embedded_text,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0014,RCT-0014-digital_pdf,receipt,receipt_2,clean,clean,digital_pdf,embedded_text,5,1,1,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,0.2,False,False
RCT-0021,RCT-0021-digital_pdf,receipt,receipt_1,clean,clean,digital_pdf,embedded_text,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0022,RCT-0022-digital_pdf,receipt,receipt_2,clean,clean,digital_pdf,embedded_text,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0025,RCT-0025-digital_pdf,receipt,receipt_1,clean,clean,digital_pdf,embedded_text,5,4,4,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,0.8,False,False
RCT-0028,RCT-0028-digital_pdf,receipt,receipt_4,clean,clean,digital_pdf,embedded_text,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0030,RCT-0030-digital_pdf,receipt,receipt_2,clean,clean,digital_pdf,embedded_text,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0002,RCT-0002-image_png,receipt,receipt_2,mild_shadow,degraded,png,ocr,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
RCT-0004,RCT-0004-image_png,receipt,receipt_4,light_noise,degraded,png,ocr,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0006,RCT-0006-image_png,receipt,receipt_2,lower_contrast,degraded,png,ocr,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0010,RCT-0010-image_png,receipt,receipt_2,slight_rotation,degraded,png,ocr,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0014,RCT-0014-image_png,receipt,receipt_2,jpeg_compression,degraded,png,ocr,5,1,1,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,0.2,False,False
RCT-0021,RCT-0021-image_png,receipt,receipt_1,jpeg_compression,degraded,png,ocr,2,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0022,RCT-0022-image_png,receipt,receipt_2,mild_blur,degraded,png,ocr,4,4,4,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,False,False
RCT-0025,RCT-0025-image_png,receipt,receipt_1,light_noise,degraded,png,ocr,5,4,4,1.0,0.8,0.888888888888889,1.0,1.0,1.0,1.0,0.8,False,False
RCT-0028,RCT-0028-image_png,receipt,receipt_4,jpeg_compression,degraded,png,ocr,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
RCT-0030,RCT-0030-image_png,receipt,receipt_2,mild_shadow,degraded,png,ocr,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
INV-0002,INV-0002-scanned_pdf,invoice,invoice_2,jpeg_compression,degraded,scanned_pdf,ocr,4,3,3,1.0,0.75,0.8571428571428571,0.3333333333333333,1.0,1.0,1.0,0.25,False,False
INV-0004,INV-0004-scanned_pdf,invoice,invoice_4,mild_shadow,degraded,scanned_pdf,ocr,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
INV-0008,INV-0008-scanned_pdf,invoice,invoice_3,lower_contrast,degraded,scanned_pdf,ocr,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False
INV-0011,INV-0011-scanned_pdf,invoice,invoice_1,mild_shadow,degraded,scanned_pdf,ocr,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True
INV-0013,INV-0013-scanned_pdf,invoice,invoice_3,light_noise,degraded,scanned_pdf,ocr,3,3,3,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,False,False
INV-0015,INV-0015-scanned_pdf,invoice,invoice_5,lower_contrast,degraded,scanned_pdf,ocr,5,5,5,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.6,False,False
